Sr.,Particulars,Qty,Rate,Total,,,
1,Dial Sohrab Js ,500,10,5000,,,
2,Dial CD 70,500,8,4000,,,
3,Dial king Hero,100,8,800,,,
4,Dial Ring ,100,6,600,,,
6,Upper Cover Unique 70,213,33,7029,,,
7,Upper Cover United 70,276,33,9108,,,
8,Back Cover 70,489,28,13692,,,
9,Housing 70,489,9,4401,,,
10,Upper Cover Sohrab Js,390,45,17550,,,
11,Housing Sohrab,390,30,11700,,,
12,Nest Sohrab,390,15,5850,,,
13,Dial Blank 70,1000,8,8000,,,
15,Upper Cover United 70,1005,33,33165,,,
16,Back Cover 70,1039,28,29092,,,
17,Housing 70,1002,9,9018,,,
18,Upper Cover Sohrab Js,325,45,14625,,,
19,Housing Sohrab Js,325,30,9750,,,
20,Nest Sohrab JS,325,15,4875,,,
21,Back Cover Sohrab JS,325,15,4875,,,
23,Dial Sohrab Js ,500,10,5000,,,
24,Dial Blank 70,500,8,4000,,,
25,Dial King Hero ,100,8,800,,,
26,Dial Ring ,100,6,600,,,
28,Dial Sohrab Js ,500,10,5000,,,
29,Dial Blank 70,1000,8,8000,,,
30,Dial Blank 70,1000,8,8000,,,
31,Housing 70,1073,9,9657,,,
32,Back Cover 70,1023,28,28644,,,
33,Upper Cover United,1023,33,33759,,,
1,Hozing 70,1009,9,9081,,,
2,Upper Cover United,709,33,23397,,,1000
4,Dial Blank 70,1000,8,8000,,,500
5,Back Covr 70,389,28,10892,,,300
6,Upper cover United,196,33,6468,,,1500
7,Back Cover 70,519,28,14532,,,
9,Back Cover 70,450,28,12600,,,
10,Housing Sohrab Js,340,30,10200,,,
12,Upper Cover United,510,33,16830,,,
13,Upper Cover Sohrab Js,489,45,22005,,,
14,Back Cover Sohrab Js,500,15,7500,,,
15,Back Cover 70,254,28,7112,,,
16,Housing 70,564,9,5076,,,
17,Nest Sohrab JS,500,15,7500,,,
18,Housing Sohrab Js,100,30,3000,,,
20,Dial Sohrab Js,500,10,5000,,,
21,Upper cover United,534,33,17622,,,
22,Back Cover 70,982,28,27496,,,
23,Housing 70,1015,9,9135,,,
24,Dial Blank Sohrab Js,500,10,5000,,,
26,Dial Blank 70 King Hero,300,8,2400,,,
27,Dial Blank 70,1500,8,12000,,,
28,Upper Cover United 70cc,507,33,16731,,,
29,Upper Cover United (Hole ) 70,162,33,5346,,,
30,Housing 70 (GC),280,9,2520,,,
32,Back Cover 70 ( GC),504,28,14112,,,
33,Housing 70,449,9,4041,,,
1,Back Cover 70,685,28,19180,,,
2,Housing 70,230,9,2070,,,
4,Upper cover United,507,33,16731,,,
5,Back Cover 70,497,28,13916,,,
6,Dial Ring,300,6,1800,,,
8,Dial Blank Sohrab Js,600,10,6000,,,
9,Dial Blank 70,1500,8,12000,,,
10,Inner  Housing Sohrab Js,500,30,15000,,,
11,Back Cover Sohrab Js,500,15,7500,,,
12,Nest Sohrab Js,482,15,7230,,,
13,Upper Cover 70 New,5,33,165,,,
14,Back Cover 70 New,5,28,140,,,
15,housing 70,5,9,45,,,
17,Upper Cover United,517,33,17061,,,
18,Upper Cover Sohrab Js,264,45,11880,,,
20,Upper Cover United,451,33,14883,,,
21,Housing 70,837,9,7533,,,
22,Back Cover Stip,3500,6,2100,,,
24,Back Cover 70,1030,28,28840,,,
25,Housing 70,1033,9,9297,,,
27,Upper Cover United,625,33,20625,,,
28,Upper Cover Unique,227,33,7491,,,
29,Housing 70 ( GC),280,9,2520,,,
30,Dial Ring 70,300,8,2400,,,
32,Upper Cover United,694,33,22902,,,
33,Upper Cover Unique,450,33,14850,,,
34,Back Cover 70,497,28,13916,,,
35,Housing 70,531,9,4779,,,
36,Upper Cover (New Model),525,33,17325,,,
37,Back Cover NeW Model),525,28,14700,,,
