Sr.,Particulars,,,,Qty,Rate,Total,,Date
1,Cover Set 125,,,,500,,,,28-Oct-10
2,Cover Set Sohrab Js,,,,50,,,,-
3,Cover Set 70,,,,534,,,,-
4,Cover Set  125,,,,539,,,,03-Nov-10
5,Cover Set 70,,,,344,,,,03-Nov-10
6,Upper Cover Unique ,,,,50,,,,05-Nov-10
7,Dial Printed,,,,500,16,8000,,
8,Printing,,,,500,8,4000,,
9,Dial Blank125(700) Set,,,,1400,8,11200,,
10,Cover Set 125,,,,483,100,48300,,
11,Cover Set 125,,,,517,100,51700,,
12,Cover Set 70,,,,408,65,26520,,29-Nov-10
13,Cover Set 125,,,,528,100,52800,,-
14,Cover Set Sohrab JS,,,,129,100,12900,,-
15,Speedo Meter 125 Parchase,,,,200,350,70000,,02-Dec
16,Cover Set 70,,,,1047,65,68055,,02-Dec-10
17,Cover Set 125,,,,300,100,30000,,-
,,,,,,,98055,,
18,Cover Set 125,,,,1000,100,100000,,11-Dec
19,Cover Set 70,,,,904,65,58760,,-
20,Dial Printed 70 (PGP),,,,845,12,10140,,-
,,,,,,,168900,,
21,,,,,690,12,8280,,
22,,,,,466,24,11184,,
23,,,,,270,12,3240,,
24,,,,,,,22704,,
25,Honda 125 Meter (Received),,,,50,350,17500,,23-Dec-10
26,Cover Set 125,,,,650,110,71500,,30-Dec-10
27,Cover Set Sohrab Js,,,,130,100,13000,,-
28,Cover Set 70,,,,1000,65,65000,,-
29,,,,,,,149500,,
30,Dial Printed (pgb),,,,491,12,5892,,3-Jan-1011
31,Meter 125 Received,,,,100,350,35000,,14-Jan--11
32,Dial Printed 125,,,,240,24,5760,,10-Jan-11
33,Cover Set 70,,,,294,65,19110,,17-Jan-11
34,Dial Printed Sohrab js,,,,192,22,4224,,21-Jan-11
35,,,,,,,0,,
36,,,,,,,0,,
1,Upper Cover Set 125,,,,100,110,11000,,25-Jan-11
2,Upper Cover 70,,,,249,33,8217,,-
3,Back Cover 70,,,,210,28,5880,,-
4,Housing 70,,,,122,9,1098,,-
5,,,,,,,26195,,-
6,Dial Printed 70 (PGP),,,,152,12,1824,,27-Jan-11
7,Cover Set 70,,,,573,72,41256,,02-Feb-11
8,Cover Set 125,,,,300,110,33000,,-
9,Cover Set Sohrab Js,,,,90,100,9000,,-
10,,,,,,,83256,,
11,dial printed 125 set,,,,100,24,2400,,04-Feb-11
12,Dial Blank 125 Set,,,,500,16,8000,,05-Feb-11
13,Cover Set 125,,,,400,110,44000,,09-Feb-11
14,Cover Set 70,,,,693,72,49896,,-
15,,,,,,,93896,,
16,cover set 125,,,,312,110,34320,,18-Feb-11
17,Cover Set 125,,,,512,110,56320,,22-Feb-11
18,Cover Set 70 ,,,,276,72,19872,,-
19,Dial 70 (P.G.B),,,,252,12,3024,,-
20,,,,,,,79216,,
21,Meter 125 Received,,,,50,350,17500,,23-Feb-11
22,Cover Set 70,,,,1195,72,86040,,03-Mar-11
23,Cover Set Sohrab JS,,,,60,110,6600,,-
24,,,,,,,92640,,
