Sr.,Particulars,Qty,Rate,Total,Date,,,,,,,,,,,
1,Upper Cover United,1014,40,40560,10-Oct-11,,Date,INV- GP,Details,Debit,Credit,Balance,,,,
2,Back Cover 70,2519,32,80608,,,10-Oct,847,,127234,148750,-21516,,,,
3,Housing 70,674,9,6066,,,14-Oct,852,,66558,,45042,,,,
4,,,,127234,,,17-Oct,857,,38427,,83469,,,,
5,Upper Cover United,741,40,29640,14-Oct-11,,19-Oct,859,,45189,,128658,,,,
6,Housing 70,602,9,5418,,,22-Oct,871,,37752,,166410,,,,
7,Dial Blank 70,3500,9,31500,,,16-Dec,830,,6400,,172810,,,,
8,,,,66558,,,17-Dec,,Cheque HBL,,50000,122810,,,,
9,Upper Cover United,507,40,20280,17-Oct-11,,11-Feb,891,,69850,,192660,,,,
10,Back Cover 70,465,32,14880,,,21-Feb,602,,19825,,212485,,,,
11,Housing 70,363,9,3267,,,01-Mar,610,,82441,,294926,,,,
12,,,,38427,,,07-Mar,616,,56960,,351886,,,,
13,Upper Cover United,503,40,20120,19-Oct-11,,20-Mar,,Cheque# 0118276 (HBL),,100000,251886,,,,
14,Back Cover 70,521,32,16672,,,12-Mar-12,623,,40448,,292334,,,,
15,Housing 70,933,9,8397,,,16-Mar-12,629,,46766,,339100,,,,
16,,,,45189,,,21-Mar-12,630,,49702,,388802,,,,
17,Upper Cover United,735,40,29400,22-Oct-11,,11-Apr-12,,Cheque# 0046098 (HBL),,150000,238802,,,,
18,Housing 70,928,9,8352,,,30-Mar-12,633,,46312,,285114,,,,
19,,,,37752,,,04-Apr-12,643,,50368,,335482,,,,
20,Upper Cover 70 New,100,40,4000,16-Dec-11,,06-Apr-12,647,,22410,,357892,,,,
21, Meter Wire 70,100,24,2400,,,09-Apr-12,654,,40024,,397916,,,,
22,,,,6400,,,11-Apr-12,655,,77951,,475867,,,,
23,Dial Blank 70,1100,9,9900,11-Feb-12,,19-Apr-12,663,,74172,,550039,,,,
24,Upper Cover 70 New,100,40,4000,,,28-Apr-12,,,40328,,590367,,,,
25,Dial Blank 70,150,9,1350,,,13-May-12,,Cheque# 0261043 (HBL),,200000,390367,,,,
26,Printed Dial 70,1170,7,8190,,,02-May-12,1,,70766,,461133,,,,
27,Upper Cover Hi Speed,1105,42,46410,,,03-May-12,,Cheque# 0227935 (HBL),,40000,421133,,,,
28,,,,69850,,,05-May-12,2,,38228,,459361,,,,
29,Dial Blank 70,425,9,3825,21-Feb-12,,08-May-12,3,,35558,,494919,,,,
30,Upper Cover 70 New,400,40,16000,,,11-May-12,4,,42188,,537107,,,,
31,,,,19825,,,15-May-12,5,,43703,,580810,,,,
32,Dial Blank 70,325,9,2925,01-Mar-12,,03-Dec-11,,Cheque HBL,,50000,530810,,,,
33,Dial Blank 70,700,9,6300,,,22-May-12,6,,77533,,608343,,,,
34,Upper Cover 70 New,150,40,6000,,,25-May-12,7,,47226,,655569,,,,
35,Meter Wire,150,24,3600,,,28-May-12,8,,27830,,683399,,,,
