Sr.,Particulars,,,,Qty,Rate,Total,,Date
1,Upper Cover Unique,,,,157,36,5652,,02-Jan-12
2,Dial Blank 70,,,,1000,8,8000,,
3,Upper Cover Unique,,,,462,36,16632,,
4,Dial Blank 70,,,,2000,8,16000,,
5,,,,,,,46284,,
6,Upper Cover Unique,,,,272,36,9792,,04-Jan-12
7,Back Cover 70,,,,472,30,14160,,
8,Housing 70,,,,396,9,3564,,
9,Back Cover 70 New,,,,143,30,4290,,
10,,,,,,,31806,,
11,Upper Cover Unique,,,,787,36,28332,,05-Jan-12
12,Back Cover 70,,,,451,30,13530,,
13,,,,,,,41862,,
14,Dial Blank 70,,,,1000,8,8000,,05-Jan-12
15,Upper Cover Unique,,,,473,36,17028,,06-Jan-12
16,Upper Cover Habib,,,,1004,36,36144,,
17,Back Cover 70,,,,465,30,13950,,
18,,,,,,,67122,,
19,Upper Cover Unique,,,,768,36,27648,,07-Jan-12
20,Upper Cover Zxmco,,,,100,36,3600,,
21,Back Cover 70,,,,465,30,13950,,
22,,,,,,,45198,,
23,Dial Blank 70,,,,1000,8,8000,,07-Jan-12
24,Upper Cover Unique,,,,157,36,5652,,09-Jan-12
25,Back Cover 70,,,,1334,30,40020,,
26,Housing 70,,,,715,9,6435,,
27,,,,,,,52107,,
28,Upper Cover Quinque JS,,,,504,40,20160,,09-Jan-12
29,Back Cover Quinque Js,,,,504,15,7560,,
30,Nest Quinque JS,,,,509,15,7635,,
31,Housing Quinque JS,,,,552,30,16560,,
32,,,,,,,51915,,
33,Upper Cover 70 New,,,,839,36,30204,,10-Jan-12
34,Back Cover 70,,,,575,30,17250,,
35,Housing 70,,,,778,9,7002,,
36,Dial Blank 70,,,,3000,8,24000,,
37,,,,,,,78456,,
38,Upper Cover Unique,,,,684,36,24624,,11-Jan-12
39,Back Cover 70 New,,,,552,30,16560,,
40,Housing 70,,,,641,9,5769,,
41,,,,,,8,46953,,
42,Upper Cover Unique,,,,165,36,5940,,12-Jan
43,Back Cover 70,,,,564,30,16920,,
44,Housing 70,,,,608,9,5472,,
45,Upper Cover 70 New,,,,370,36,13320,,
46,,,,,,,41652,,
47,Dial Blank 70,,,,2000,8,16000,,12-Jan-12
48,Upper Cover Unique,,,,294,36,10584,,13-Jan-12
49,Back Cover 70,,,,614,30,18420,,
50,Housing 70,,,,300,9,2700,,
51,Upper Cover 70 New,,,,996,36,35856,,
52,,,,,,,67560,,
1,Back Cover 70,,,,289,30,8670,,13-Jan-12
2,Housing 70,,,,1068,9,9612,,
3,,,,,,,18282,,
4,Upper Cover Unique,,,,601,36,21636,,14-Jan-12
5,Back Cover 70,,,,479,30,14370,,
6,Housing 70,,,,728,9,6552,,
7,,,,,,,42558,,
8,Dial Blank 70,,,,3000,9,27000,,14-Jan
9,Dial Blank Sohrab JS,,,,400,12,4800,,
10,Dial Blank Quinque,,,,400,12,4800,,
11,,,,,,,36600,,
12,Upper Cover Unique,,,,1131,36,40716,,16-Jan-12
13,Back Cover 70,,,,934,30,28020,,
14,Housing 70,,,,625,9,5625,,
15,,,,,,,74361,,
16,Upper Cover Unique,,,,821,36,29556,,17-Jan-12
17,Back Cover 70,,,,495,30,14850,,
18,Housing 70,,,,557,9,5013,,
19,,,,,,,49419,,
20,Upper Cover Super Power,,,,48,36,1728,,18-Jan-12
21,Upper Cover Unique,,,,83,36,2988,,
22,Back Cover 70,,,,297,30,8910,,
23,Upper Cover Sohrab JS,,,,400,45,18000,,
24,Back Cover Sohrab JS,,,,400,15,6000,,
25,Nest Sohrab JS,,,,400,15,6000,,
26,Housing Sohrab Js,,,,400,30,12000,,
27,,,,,,,55626,,
28,Upper Cover 70 New,,,,368,36,13248,,19-Jan-12
29,Back Cover 70 New,,,,914,30,27420,,
30,,,,,,,40668,,
31,Upper Cover 70 New,,,,314,36,11304,,20-Jan-12
32,Back Cover 70,,,,280,30,8400,,
33,Housing 70,,,,450,9,4050,,
34,,,,,,,23754,,
35,Dial Blank 70,,,,950,9,8550,,21-Jan-12
36,Upper Cover 70 New,,,,395,36,14220,,
37,Back Cover 70 New,,,,288,30,8640,,
38,,,,,,,31410,,
0,Housing 70,,,,250,9,2250,,21-Jan
40,Upper Cover Unique,,,,444,36,15984,,23-Jan-12
41,Back Cover 70,,,,723,30,21690,,
42,Housing 70,,,,1206,9,10854,,
43,,,,,,,48528,,
44,Dial Blank 70,,,,1000,9,9000,,23-Jan
45,Upper Cover Unique,,,,749,36,26964,,23-Jan-12
46,Back Cover 70,,,,399,30,11970,,
47,Housing 70,,,,599,9,5391,,
48,,,,,,,44325,,
49,Upper Cover Unique,,,,666,36,23976,,25-Jan-12
50,Back Cover 70,,,,372,30,11160,,
51,Housing 70,,,,748,9,6732,,
52,,,,,,,41868,,
1,Upper Cover Unique,,,,311,36,11196,,26-Jan-12
2,Upper Cover 70,,,,442,36,15912,,
3,Back Cover 70,,,,753,30,22590,,
4,Housing 70,,,,571,9,5139,,
5,,,,,,,54837,,
6,Upper Cover Unique,,,,166,36,5976,,27-Jan-12
7,Back Cover 70,,,,653,30,19590,,
8,Housing 70,,,,760,9,6840,,
9,,,,,,,32406,,
10,Dial Blank 70,,,,2000,9,18000,,27-Jan
11,Upper Cover Unique,,,,650,36,23400,,28-Jan-12
12,Housing 70,,,,626,9,5634,,
13,,,,,,,29034,,
14,Back Cover 70,,,,210,30,6300,,30-Jan-12
15,Back Cover 70,,,,1032,30,30960,,
16,Housing 70,,,,480,9,4320,,
17,,,,,,,41580,,
18,Upper Cover Unique,,,,388,36,13968,,31-Jan-12
19,Back Cover 70,,,,837,30,25110,,
20,,,,,,,39078,,
21,Upper Cover Unique,,,,366,36,13176,,01-Feb-12
22,Back Cover 70,,,,233,30,6990,,
23,Housing 70,,,,834,9,7506,,
24,,,,,,,27672,,
25,Back Cover Zxmco,,,,186,30,5580,,03-Feb-12
26,Back Cover 70,,,,186,30,5580,,
27,Housing 70,,,,630,9,5670,,
28,,,,,,,16830,,
29,Upper Cover Unique 70,,,,478,36,17208,,06-Feb-12
30,Back Cover 70,,,,464,30,13920,,
31,Housing 70,,,,523,9,4707,,
32,,,,,,,35835,,
33,Upper Cover Unique ,,,,711,36,25596,,07-Feb-12
34,Back Cover 70,,,,835,30,25050,,
35,Housing 70,,,,434,9,3906,,
36,,,,,,,54552,,
37,Upper Cover Unique,,,,952,36,34272,,08-Feb-12
38,Back Cover 70,,,,680,30,20400,,
0,Housing 70,,,,458,9,4122,,
40,,,,,,,58794,,
41,Upper Cover Unique,,,,586,36,21096,,09-Feb-12
42,Back Cover 70,,,,956,30,28680,,
43,,,,,,,49776,,
44,Back Cover 70,,,,462,30,13860,,10-Feb
45,Housing 70,,,,327,9,2943,,
,Housing 70 abs,,,,327,9,2943,,
47,Upper Cover 70,,,,380,36,13680,,13-Feb-13
48,Back cover 70,,,,526,30,15780,,
49,Housing 70,,,,549,9,4941,,
50,Upper Cover 70,,,,249,36,8964,,14-Feb-12
51,Back Cover 70,,,,507,30,15210,,
52,Housing 70,,,,498,9,4482,,
53,,,,,,,28656,,
1,Upper Cover 70,,,,480,36,17280,,15-Feb-12
2,Back Cover 70,,,,725,30,21750,,
3,Housing 70,,,,631,9,5679,,
